term,estimate,std.error,statistic,p.value
diag_3540,-15.155674457227908,3956.1803339974513,-0.003830885646689955,0.9969434029645824
diag_3542,-13.406767313079298,3956.1803591814432,-0.0033888160032858653,0.9972961212068349
diag_3543,-13.90776725715127,1973.5665373909642,-0.007047022227858203,0.9943773363021985
diag_3550,1.28061649823839,1.4934936517371253,0.8574636368550133,0.3911887028973325
diag_3552,0.7081499435135096,0.7885122784590831,0.8980835972489633,0.3691409830862552
diag_3553,-0.17693510966456827,0.37920633732681114,-0.46659322972253076,0.6407909317463479
diag_3555,-0.05349090901277221,0.7554400630190818,-0.07080761483445586,0.9435508712778785
diag_3556,-15.330439690294703,931.9126133330966,-0.01645051206621569,0.9868749823883515
diag_3557,1.7731438631297494,0.6410799480429907,2.7658701048794034,0.0056771143232754616
diag_3558,0.38250951884764983,0.330619852811126,1.1569466128404786,0.24729417289386632
diag_3560,0.3964986980811867,0.2278913627329872,1.7398583839517918,0.08188388768664091
diag_3562,0.3089071755061794,0.2817863574147394,1.0962460295816343,0.2729711209893068
diag_3564,0.3350093781269643,0.3284956771227549,1.0198288789102552,0.3078096243842466
diag_3565,-14.55342870211242,1763.3639185230059,-0.008253219060023853,0.9934149586925352
diag_3566,-15.204442005084173,1732.2447952692587,-0.008777305636366948,0.9929968132696051
diag_3567,-0.05664421533443008,0.7684062444537849,-0.07371649533469778,0.9412359731214397
diag_3568,0.043751555837742644,0.5463338324853959,0.08008209127138793,0.9361719660914173
diag_3569,0.6390604102611117,0.3267757280737696,1.9556544607157722,0.050505872701169616
diag_357,-15.131368451409672,3956.1803389901884,-0.0038247418355230847,0.9969483049807443
diag_3570,0.7351982334559147,0.7985386380319847,0.9206795995092063,0.3572177301711425
diag_3571,0.2210516314965632,0.2221549283285721,0.9950336603364609,0.319719893545656
diag_3572,0.17267576683819325,0.4523864772934046,0.3816996650105454,0.7026841485871604
diag_3573,0.6741242645855722,0.4195518846917653,1.6067721041959688,0.10810436974667388
diag_3574,0.35026635564498754,0.3178946167590921,1.1018316674120578,0.27053486031679674
diag_3575,0.1803354455979086,0.5541973277417211,0.3253993416618428,0.7448788537046096
diag_3576,0.41741000985921295,0.47848246484761386,0.8723621878016968,0.3830108216509437
diag_3577,0.6281219739713063,0.25727721834635753,2.441420884478399,0.014629593464645912
diag_3578,0.43338315677425016,0.23149811558606828,1.872080710795779,0.06119543818166074
diag_3579,-15.709849740629698,1255.4330934451139,-0.012513490223138295,0.9900159399129446
diag_3580,0.6203224171611859,0.8639767946009088,0.7179850443179175,0.4727665083675772
diag_3581,0.9891196700510719,0.27349821861314383,3.6165488574905718,2.98556986634139e-4
diag_3582,0.46882561840676384,0.8108906181003167,0.5781613548632334,0.5631551869889019
diag_3583,-0.1257970148867513,0.3952153639234493,-0.31829991030186106,0.7502574523458705
diag_3584,0.3517173162446846,0.16523439965395292,2.1285962062456676,0.03328768266491132
diag_3585,0.47347675699195463,0.147561756063795,3.2086684898711666,0.0013335114998111047
diag_3586,-0.2966374247959431,1.048589177847433,-0.282891938103812,0.7772596747311875
diag_3588,-0.154746284034868,0.7554834077871381,-0.20483081751342538,0.8377043085660378
diag_3590,-0.012006056144818261,0.5547822264708039,-0.021641025202255817,0.982734307806726
diag_3591,0.17768596960585842,0.31496237683818495,0.5641498244634671,0.5726521719201374
diag_3592,0.4789576076662694,0.43009930190654555,1.1135977332284535,0.2654517993203719
diag_3593,0.2322134904082718,0.22399497301182122,1.0366906332135268,0.29988005872989176
diag_3594,-15.10218042369168,1286.548980826785,-0.011738519596810413,0.9906342315368265
diag_3595,0.5329446702891821,0.43872271642413846,1.2147642470693354,0.22445602067359738
diag_3596,0.6488447770698089,0.33171608378068046,1.9560244703081786,0.05046227154852668
diag_3597,1.9683060630745486,1.4750809119637125,1.3343715908127551,0.18208210576311976
diag_3598,0.9145254078266208,0.8009688914068902,1.1417739410831178,0.2535479968050074
diag_3599,0.23688078743700905,0.15025809944696383,1.576492637061606,0.11491231429885382
diag_3600,-0.27274225960407966,0.49302668335928435,-0.5531997938645516,0.5801266081090861
diag_3601,-0.33441490541745394,1.0562237628271953,-0.3166136922751342,0.7515367449826624
diag_3602,21.765518678642852,3956.1804134324343,0.00550164967319041,0.995610340811303
diag_3603,0.7381233091328777,4841.465470738525,1.5245865401582285e-4,0.9998783555942712
diag_3604,1.815902561108407,1.2663518981226725,1.4339636271722151,0.15158264282795442
diag_3605,1.4373073315435656,1.209333237003485,1.18851222108553,0.23463166788928286
diag_3607,1.406102940269435,0.867297934898806,1.621245576277655,0.10496498182836773
diag_3608,0.4523707829022621,0.8326624093202399,0.5432823408847816,0.5869354209509892
diag_3610,-14.753124781738796,1375.73806507297,-0.010723789038254373,0.9914438182863697
diag_3611,-14.944615098210802,923.8281947848401,-0.016176833725768034,0.9870933170548574
diag_3614,1.1395082112060713,0.6628303341571514,1.7191551932442242,0.08558611705554243
diag_3616,0.17698373909915,1.0786277080599342,0.16408232217349625,0.8696663380573638
diag_3617,1.272426512897941,0.9177874998430565,1.3864064536894745,0.16562282690979338
diag_3618,0.030460835849444753,1.0690084974633924,0.028494474947321796,0.9772677745949275
diag_3619,2.339647228665467,0.9827747563287643,2.3806545839714186,0.017281908351517956
diag_3620,-14.442110568719075,672.1404836405169,-0.0214867440962583,0.9828573777019567
diag_3621,-14.375536793235113,1060.180551890477,-0.013559517544064694,0.9891814018195118
diag_3622,-14.7573270202506,3956.1803590522127,-0.003730195714278818,0.9970237413329279
diag_3623,-13.296058877250589,1873.2622288997218,-0.007097809731134201,0.994336814750895
diag_3624,-14.46621970855622,2642.6394087699955,-0.005474155747677076,0.9956322774596488
diag_3625,0.5575625826164339,0.7869280859168539,0.7085305412206947,0.47861585298881526
diag_3626,-14.21005037344298,677.078011425849,-0.020987316282090208,0.9832557735892933
diag_3627,-14.539587839620399,888.6171751826224,-0.016362037833257414,0.9869455651129657
diag_3641,-15.048197973682242,2593.1751020125726,-0.005803001101623751,0.9953699010010001
diag_3642,-15.31043568483743,652.1140674447043,-0.023478155815333135,0.9812688628160665
