term,estimate,std.error,statistic,p.value
medical_specialtyOutreachServices,0.14730473794497417,1.3172790662500404,-1.4539453634591692,0.14596145456872042
medical_specialtyPathology,0.07253414086033567,1.3038666813790962,-2.0122440100782235,0.04419422131538512
medical_specialtyPediatrics,0.13071561199650988,0.8386868986326851,-2.4260915720863743,0.015262418689257139
medical_specialtyPediatrics-AllergyandImmunology,1.729454121045174e-6,308.7260776786314,-0.04297565283754871,0.965720942138955
medical_specialtyPediatrics-CriticalCare,0.0975123313631264,1.0094968951060312,-2.305877754296559,0.02111746397439231
medical_specialtyPediatrics-EmergencyMedicine,3.849676605444158e-6,308.9319892979209,-0.040356848250361815,0.967808632309172
medical_specialtyPediatrics-Endocrinology,0.021567586714354804,1.2976656950226642,-2.9565116201608723,0.0031114050731664926
medical_specialtyPediatrics-Hematology-Oncology,0.6685353025198807,1.4188547112233587,-0.28379655231294654,0.7765662968040723
medical_specialtyPediatrics-InfectiousDiseases,3.6062037237143935e-6,535.4117909225404,-0.023407879974819374,0.9813249194184257
medical_specialtyPediatrics-Neurology,1.7052394723138577e-6,165.90890279813976,-0.08005480586102885,0.9361936670255965
medical_specialtyPediatrics-Pulmonology,0.1315968103264628,1.1014440069501557,-1.8412306801150824,0.06558776117165144
medical_specialtyPerinatology,3.3008937197007506e-6,535.4117669316498,-0.023573104069671228,0.9811931260312448
medical_specialtyPhysicalMedicineandRehabilitation,0.2452665793256895,0.8067876896448681,-1.7419819354264754,0.08151160528231505
medical_specialtyPhysicianNotFound,0.3342376743307216,1.123086507280537,-0.9757956597070886,0.329165736040048
medical_specialtyPodiatry,0.15511703126585036,0.8630436468616722,-2.159306094557654,0.03082642763700613
medical_specialtyProctology,2.953484766516711e-6,535.4117592667412,-0.023780809045776577,0.9810274478838567
medical_specialtyPsychiatry,0.22916371427327784,0.8016948142921865,-1.8377549599899161,0.06609852121453175
medical_specialtyPsychiatry-Addictive,1.5031943514956312e-6,535.4117622042961,-0.025042255499406516,0.9800212591510457
medical_specialtyPsychiatry-Child/Adolescent,0.36487404889940744,1.3462442519726936,-0.7489005468224952,0.45391715071918476
medical_specialtyPsychology,0.12475460313036184,0.8836007507353094,-2.3555962853795522,0.018493003725250007
medical_specialtyPulmonology,0.1894228309375466,0.8011135042143753,-2.07682625901269,0.0378175976903192
medical_specialtyRadiologist,0.18317261109888613,0.8010216827507048,-2.118951805181455,0.03409454015777235
medical_specialtyRadiology,0.2992366706951199,0.8838779959477333,-1.3650305624076635,0.17224344442151
medical_specialtyResident,1.1215516124739253,1.6320449452543877,0.07028795082119786,0.9439644726396705
medical_specialtyRheumatology,0.2856435398704974,1.0223990600036108,-1.2255592347715298,0.22036458631125197
medical_specialtySpeech,2.4548983019051094e-6,535.4117588213427,-0.024126151526627268,0.980751983489397
medical_specialtySportsMedicine,2.1698237967843715e-6,535.4117618907198,-0.024356701741656953,0.9805680850743355
medical_specialtySurgeon,0.1578700157897345,0.9540258145810206,-1.9349405867302296,0.05299758690542899
medical_specialtySurgery-Cardiovascular,0.10744950804504087,0.8995106714374514,-2.4799419342007556,0.01314037795366405
medical_specialtySurgery-Cardiovascular/Thoracic,0.10875263634063363,0.8098582189799715,-2.739589862888492,0.006151589553110202
medical_specialtySurgery-Colon&Rectal,0.17799724288141774,1.3179014104588571,-1.3096482062640107,0.1903148725568932
medical_specialtySurgery-General,0.18457037334078608,0.7960959679607532,-2.122513527148566,0.03379463796994562
medical_specialtySurgery-Maxillofacial,0.1734676401029384,1.317075708538374,-1.3300406332069066,0.18350488385643085
medical_specialtySurgery-Neuro,0.1481231070466656,0.8149185030265147,-2.343438686830328,0.019106902421650106
medical_specialtySurgery-Pediatric,3.2971259777750464e-6,183.9971879864852,-0.06860137115634748,0.9453069274152716
medical_specialtySurgery-Plastic,0.3267952363614065,0.9060813455576494,-1.234349982154944,0.2170725185584169
medical_specialtySurgery-PlasticwithinHeadandNeck,2.8385233542698116e-6,535.4117581319631,-0.02385496095799498,0.9809682999973877
medical_specialtySurgery-Thoracic,0.15950381778099826,0.8578441343120847,-2.139884563743894,0.03236409689018024
medical_specialtySurgery-Vascular,0.19250987518613727,0.8046401039964372,-2.047633244625265,0.04059594933218661
medical_specialtySurgicalSpecialty,0.14174033641184672,1.0804985106500995,-1.8082010228631225,0.07057521949704793
medical_specialtyunknown,0.19874548745709153,0.7940072048795875,-2.0349062582736703,0.04186030617624729
medical_specialtyUrology,0.2037991485561849,0.8044633220451518,-1.977244073724317,0.0480140479244832
num_procedures,0.9827107916956478,0.007164528751203564,-2.4342720367247037,0.014921775775551118
num_medications,1.0098222222785926,0.0015184956296797668,6.436829730208244,1.2199465203630693e-10
number_emergency,1.038904716286826,0.008677322446359426,4.398476720527348,1.090133171927775e-5
number_inpatient,1.2820587510028674,0.006621301751927839,37.52542843881468,3.545927794871955e-308
chf,1.108537938397485,0.027185578477241193,3.790317522994235,1.5045482973001146e-4
carit,NA,NA,NA,NA
valv,1.0088856740554166,0.0630855423074558,0.14022909908332312,0.8884789813092363
pcd,0.8928540784055915,0.18603608818783102,-0.6091942622670343,0.5423956830284883
pvd,1.4452795920539359,0.07174469024021204,5.133519859453042,2.8437300848601914e-7
hypunc,0.8835930389390798,0.03719748498681886,-3.3270713215988055,8.77639076696482e-4
hypc,1.1366191516510828,0.038602457748435175,3.3173587164221465,9.087286222300881e-4
para,2.670185047767431,0.1226544013666252,8.007440135432208,1.1712072510730093e-15
ond,1.1811011006801804,0.14421365262005445,1.154170472228696,0.24843028576805162
cpd,0.9901436635090934,0.030675907986823348,-0.32289938182821964,0.7467714444877673
diabunc,1.1437204267549896,0.036986513414982124,3.6306877422470514,2.826670028595826e-4
diabc,1.3728788137038626,0.032144931049462686,9.858781732360656,6.280679227243541e-23
hypothy,0.912594895469243,0.13561081742468767,-0.6744535991651781,0.5000229761815129
rf,1.1940255482649196,0.04778854562670175,3.7107304610921386,2.0666205747631088e-4
ld,1.4021405244029745,0.09074603749843137,3.724680705548939,1.9556258572146033e-4
pud,NA,NA,NA,NA
aids,NA,NA,NA,NA
lymph,1.5597471216983747,0.12259489960570241,3.6259559580038516,2.878944231319198e-4
metacanc,1.2700982633380293,0.07725985654571553,3.0946766001697306,0.001970276002149497
solidtum,1.057024330067261,0.062349121869629494,0.8894708217091856,0.37375009780845175
rheumd,0.9316830712901899,0.20240711398749295,-0.34960517442852745,0.7266350270841404
coag,1.048251868176499,0.18638051510346368,0.2528369943983189,0.8003941788571192
obes,NA,NA,NA,NA
wloss,1.1558170730368578,0.12942888058675725,1.1188191982703943,0.26321727967967046
fed,1.0745027099038766,0.030864554789351326,2.3281709262135513,0.0199030293365034
blane,NA,NA,NA,NA
dane,1.8078540267314713,0.30984504472337693,1.9110859810971323,0.055993532408756826
alcohol,5.923048346500316,0.9687854350807573,1.8361663742554046,0.06633305416107295
drug,1.2162086269039285,0.12304528708562802,1.5907828868666525,0.11165844555871217
psycho,1.175722719258278,0.0928596471168155,1.7433087865171426,0.08127969138216919
depre,1.0464527656277185,0.15146857489445684,0.2997725854921582,0.7643506277827448
number_diagnoses,1.0276571974819833,0.006574496026221855,4.149617830436369,3.330308234161544e-5
metforminNo,0.8848847000220419,0.13036644089609867,-0.9381089495274706,0.3481884230646376
metforminSteady,0.8031263787669664,0.13186916695847778,-1.662581171961275,0.0963963025448081
metforminUp,0.6652266561535006,0.17135661976017233,-2.378825286395363,0.017367905621548427
repaglinideNo,2.0005783397552372,0.5999169232571181,1.155887226636568,0.2477272880245893
repaglinideSteady,2.1267174321106204,0.6051863757299885,1.2468550343551679,0.21245065677753575
repaglinideUp,3.19723171659054,0.6498459272015086,1.7885552531511948,0.07368646971468944
glipizideNo,0.7601616860335901,0.12053394822210961,-2.275077914500616,0.0229012562792149
glipizideSteady,0.7814524947585424,0.12344275506593937,-1.997694543463832,0.04574978614948503
glipizideUp,0.8947497641287395,0.1617621452348829,-0.6874982573425868,0.49176879854311345
insulinNo,0.8817850964290984,0.037861012026779294,-3.322861718997834,8.909907059584166e-4
insulinSteady,0.8763444299107399,0.03356981782418923,-3.931986797912314,8.424669341821191e-5
insulinUp,0.92932930525007,0.039460537756673936,-1.8573525432059783,0.06326101353623405
diabetesMedYes,1.1749274949877755,0.034520097906428376,4.669929956044589,3.0130245180166463e-6
